Local Authority,Year,Reception Overweight,Year 6 Overweight,Reception Obese,Year 6 Obese
Harrow,2012,10.91211995,13.7653737,10.24573095,20.43519395
Harrow,2013,11.038,15.8932,9.3202,20.7968
Harrow,2014,10.40053854,12.62295082,9.222484012,21.10655738
Harrow,2015,9.174311927,15.44233807,8.191349934,20.18167457
Harrow,2016,10.11198946,15.81920904,8.333333333,20.64030132
Harrow,2017,9.852700491,14.80932988,8.576104746,19.73343206
Harrow,2018,10.12228261,16.19014812,7.744565217,20.04822597
Havering,2006,14.37161756,16.97433588,11.24473842,20.30616839
Havering,2007,13.29254727,13.83515559,10.12235818,19.00756939
Havering,2008,14.92036882,14.65231788,10.72925398,17.63245033
Havering,2009,15.26687598,13.92956074,12.08791209,21.32963989
Havering,2010,13.46075641,16.03392569,10.81740545,19.26494346
Havering,2011,13.74953549,14.59793814,9.847640282,20.94845361
Havering,2012,11.32342534,15.11627907,9.624911536,19.93970715
Havering,2013,14.0376,14.7951,11.7945,20.6148
Havering,2014,13.53021978,15.3371869,10.33653846,20.77071291
Havering,2015,12.30171577,15.39881832,10.84493364,21.7872969
Havering,2016,14.31670282,16.03168616,10.78400992,22.85929838
Havering,2017,14.36549798,14.9611856,10.36301582,22.58292167
Havering,2018,13.5707411,14.91168478,10.7154315,21.4673913
Hillingdon,2006,11.10277569,14.11245865,8.47711928,19.47813304
Hillingdon,2007,9.786039986,12.60659993,8.383023501,19.42899518
Hillingdon,2008,9.904697073,12.90889905,9.155888359,19.73267675
Hillingdon,2009,11.86228482,13.88023538,9.577464789,19.55694012
Hillingdon,2010,11.42771446,14.29061001,10.1079784,20.56202879
Hillingdon,2011,11.43099069,14.61406518,9.511713237,20.68610635
Hillingdon,2012,12.01749871,14.78052126,9.418425116,19.82167353
Hillingdon,2013,11.511,14.789,10.0813,19.835
Hillingdon,2014,10.93983093,13.39201509,9.622078568,19.77365608
Hillingdon,2015,10.46957355,15.77548006,9.511260182,21.09305761
Hillingdon,2016,11.18710308,15.2809633,9.404005862,22.64908257
Hillingdon,2017,11.45136387,15.35246587,9.881626351,21.81666202
Hillingdon,2018,11.15107914,15.50774075,9.275436793,23.58960903
Hounslow,2006,11.36999068,15.8111824,11.32339236,21.76901925
Hounslow,2007,11.13074205,14.52805568,13.03003534,22.66202697
Hounslow,2008,13.14422693,15.35029005,12.10547343,23.47166444
Hounslow,2009,12.4137931,15.55176821,13.8697318,24.62718364
Hounslow,2010,12.09989448,15.00441306,12.66268027,23.38923213
Hounslow,2011,10.74270557,15.577672,11.87002653,23.27996538
Hounslow,2012,11.51228174,14.79744136,11.54187629,24.64818763
Hounslow,2013,10.5717,15.1351,10.0926,23.9085
Hounslow,2014,11.23493976,14.93855607,9.668674699,22.81105991
Hounslow,2015,10.26894866,15.00386698,10.11613692,24.09126063
Hounslow,2016,10.89724608,15.70100143,10.36422861,24.35622318
Hounslow,2017,11.33863081,14.82795317,10.14669927,22.98687478
Hounslow,2018,11.92115144,14.7298995,11.63954944,24.81155779
Islington,2006,12.78337531,14.10923277,10.07556675,23.86215865
Islington,2007,12.41464929,15.13616213,10.36623215,24.12919569
Islington,2008,11.89591078,15.71334648,12.6394052,21.36752137
Islington,2009,13.68867353,13.54757404,11.38703816,24.82671708
Islington,2010,14.76635514,16.49746193,11.58878505,21.76395939
Islington,2011,13.65880417,16.05329949,9.983543609,22.08121827
Islington,2012,12.54752852,14.69627694,10.59206953,21.75048988
Islington,2013,12.4934,16.6453,10.7538,21.4469
Islington,2014,12.22618441,16.43920596,9.730005094,22.76674938
Islington,2015,11.94805195,15.79275905,10.33766234,22.84644195
Islington,2016,11.79347826,13.37654685,10.32608696,24.9263406
Islington,2017,11.48796499,14.44954128,10.83150985,23.62385321
Islington,2018,11.41055046,15.9257175,9.747706422,23.35396736
Kensington And Chelsea,2006,11.22807018,17.24581725,9.590643275,21.49292149
Kensington And Chelsea,2007,12.85189718,16.23296159,12.3623011,20.69392813
Kensington And Chelsea,2008,14.26844015,14.69879518,8.706166868,22.40963855
Kensington And Chelsea,2009,11.50747986,17.26342711,8.400460299,24.68030691
Kensington And Chelsea,2010,14.16122004,14.52380952,8.061002179,21.07142857
Kensington And Chelsea,2011,12.34567901,15.87677725,8.950617284,22.39336493
Kensington And Chelsea,2012,11.3368984,13.08411215,8.877005348,20.09345794
Kensington And Chelsea,2013,13.4409,14.7727,9.5699,21.25
Kensington And Chelsea,2014,13.90319258,14.87695749,9.577754892,21.47651007
Kensington And Chelsea,2015,13.58024691,13.71681416,10.88664422,18.5840708
Kensington And Chelsea,2016,13.84615385,16.38029782,8.461538462,19.24398625
Kensington And Chelsea,2017,11.1239861,14.6393972,11.00811124,20.77502691
Kensington And Chelsea,2018,11.60092807,11.27071823,8.352668213,22.98342541
Kingston Upon Thames,2006,9.618320611,14.66666667,7.709923664,15.37254902
Kingston Upon Thames,2007,10.25454545,14.77362986,7.563636364,16.04447975
Kingston Upon Thames,2008,9.96742671,13.18851823,7.622149837,16.44685803
Kingston Upon Thames,2009,9.622195986,14.57577955,6.78866588,16.67875272
Kingston Upon Thames,2010,10.4283054,15.06550218,7.076350093,15.72052402
Kingston Upon Thames,2011,10.47887324,12.22614841,5.915492958,15.26501767
